nfe,predictor_type,corrector_type,forward_process,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,error_rate_mean,error_rate_std,avg_run_length_mean,avg_run_length_std,run_length_deviation,weighted_score
16,maskgit,none,CosineSchedule,16,none,none,True,0.5,0.0,0.0310330722,0.0008676148062260694,10.1728022,0.06645409600769538,0.029860600324839854,0.031062932800324843
16,md4,forward_backward,CosineSchedule,8,none,none,False,none,1.0,0.0116425211,0.0002702298176502733,5.9208301599999995,0.004477593742513956,16.63962658356563,0.02828214768356563
16,md4,gibbs,CosineSchedule,8,1.0,0.01,False,none,0.0,0.000587401456,4.8729913515866515e-05,7.81383666,0.11801832509817309,4.779310149159957,0.0053667116051599574
16,md4,none,CosineSchedule,16,none,none,False,none,0.0,0.009299212800000001,0.000182599322271348,6.8047701599999995,0.05403459329173023,10.209493730426429,0.019508706530426433
32,maskgit,none,CosineSchedule,32,none,none,True,0.1,0.0,0.0156188994,0.00016634645498717323,22.8753614,0.1746111091777949,165.77493118060994,0.18139383058060993
32,md4,forward_backward,CosineSchedule,16,none,none,False,none,0.5,0.00533858094,0.0002187079615471235,7.440200300000001,0.08871320089081983,6.552574504120086,0.011891155444120085
32,md4,gibbs,CosineSchedule,16,1.0,2.0,False,none,0.0,5.82677144e-05,3.275060234573323e-05,9.718823,0.13631922625037132,0.07906050532899976,0.00013732821972899976
32,md4,none,CosineSchedule,32,none,none,False,none,0.0,0.00438267562,7.526907351995808e-05,7.918259880000001,0.0890022905112102,4.333641927217611,0.008716317547217611
64,maskgit,none,CosineSchedule,64,none,none,True,0.01,0.0,0.0083653525,0.00029444055493596733,45.921063399999994,0.44473160292450664,1290.3227957868191,1.298688148286819
64,md4,forward_backward,CosineSchedule,32,none,none,False,none,1.0,0.00246771588,0.00012026892425567366,8.2252844,0.08802195873928303,3.1496154608833615,0.005617331340883361
64,md4,gibbs,CosineSchedule,32,1.0,0.5,False,none,0.0,4.7244096e-06,4.312776181356598e-06,13.4295096,0.11411542399824814,11.761536096492156,0.011766260506092157
64,md4,none,CosineSchedule,64,none,none,False,none,0.0,0.0021023616,4.7823801455992724e-05,8.711863300000001,0.03303494787107188,1.6592961578868874,0.003761657757886887
128,maskgit,none,CosineSchedule,128,none,none,False,0.1,0.0,0.0,0.0,143.63005,2.535490691089196,17856.990263002503,17.8569902630025
128,md4,forward_backward,CosineSchedule,64,none,none,False,none,1.0,0.00123149574,8.381296790218673e-05,8.7929143,0.0899050185081456,1.457055887144491,0.002688551627144491
128,md4,gibbs,CosineSchedule,64,1.0,2.0,False,none,0.0,0.0,0.0,12.171117599999999,0.11108654767252443,4.713751633029754,0.004713751633029754
128,md4,none,CosineSchedule,128,none,none,False,none,0.0,0.00109921232,6.734726728506671e-05,9.06858,0.046257224550453946,0.8675432163999987,0.001966755536399999
